,year,type,numbers
0,1982,fatalities,8
1,1983,fatalities,0
2,1984,fatalities,28
3,1985,fatalities,0
4,1986,fatalities,15
5,1987,fatalities,6
6,1988,fatalities,7
7,1989,fatalities,15
8,1990,fatalities,10
9,1991,fatalities,35
10,1992,fatalities,9
11,1993,fatalities,23
12,1994,fatalities,5
13,1995,fatalities,6
14,1996,fatalities,6
15,1997,fatalities,9
16,1998,fatalities,14
17,1999,fatalities,44
18,2000,fatalities,7
19,2001,fatalities,5
20,2002,fatalities,0
21,2003,fatalities,7
22,2004,fatalities,5
23,2005,fatalities,17
24,2006,fatalities,21
25,2007,fatalities,54
26,2008,fatalities,18
27,2009,fatalities,39
28,2010,fatalities,9
29,2011,fatalities,19
30,2012,fatalities,72
31,2013,fatalities,36
32,2014,fatalities,9
33,2015,fatalities,24
34,1982,injured,3
35,1983,injured,0
36,1984,injured,20
37,1985,injured,0
38,1986,injured,6
39,1987,injured,14
40,1988,injured,4
41,1989,injured,41
42,1990,injured,4
43,1991,injured,26
44,1992,injured,10
45,1993,injured,34
46,1994,injured,23
47,1995,injured,0
48,1996,injured,1
49,1997,injured,5
50,1998,injured,36
51,1999,injured,47
52,2000,injured,0
53,2001,injured,4
54,2002,injured,0
55,2003,injured,8
56,2004,injured,7
57,2005,injured,9
58,2006,injured,7
59,2007,injured,32
60,2008,injured,24
61,2009,injured,38
62,2010,injured,2
63,2011,injured,21
64,2012,injured,68
65,2013,injured,13
66,2014,injured,3
67,2015,injured,10
68,1982,total_victims,11
69,1983,total_victims,0
70,1984,total_victims,48
71,1985,total_victims,0
72,1986,total_victims,21
73,1987,total_victims,20
74,1988,total_victims,11
75,1989,total_victims,56
76,1990,total_victims,14
77,1991,total_victims,61
78,1992,total_victims,19
79,1993,total_victims,57
80,1994,total_victims,28
81,1995,total_victims,6
82,1996,total_victims,7
83,1997,total_victims,14
84,1998,total_victims,50
85,1999,total_victims,91
86,2000,total_victims,7
87,2001,total_victims,9
88,2002,total_victims,0
89,2003,total_victims,15
90,2004,total_victims,12
91,2005,total_victims,26
92,2006,total_victims,28
93,2007,total_victims,86
94,2008,total_victims,42
95,2009,total_victims,77
96,2010,total_victims,11
97,2011,total_victims,40
98,2012,total_victims,140
99,2013,total_victims,49
100,2014,total_victims,12
101,2015,total_victims,34
