GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US01003,"Baldwin County, Alabama",59607,77737
0500000US01015,"Calhoun County, Alabama",51351,61770
0500000US01043,"Cullman County, Alabama",46579,61976
0500000US01049,"DeKalb County, Alabama",47165,56661
0500000US01051,"Elmore County, Alabama",61890,72421
0500000US01055,"Etowah County, Alabama",53002,62381
0500000US01069,"Houston County, Alabama",51484,68541
0500000US01073,"Jefferson County, Alabama",58311,77396
0500000US01077,"Lauderdale County, Alabama",53320,69687
0500000US01081,"Lee County, Alabama",57350,82889
0500000US01083,"Limestone County, Alabama",66343,86157
0500000US01089,"Madison County, Alabama",77209,96177
0500000US01095,"Marshall County, Alabama",41642,60503
0500000US01097,"Mobile County, Alabama",53464,69879
0500000US01101,"Montgomery County, Alabama",54780,70778
0500000US01103,"Morgan County, Alabama",56462,68145
0500000US01115,"St. Clair County, Alabama",57764,67699
0500000US01117,"Shelby County, Alabama",82078,97912
0500000US01121,"Talladega County, Alabama",46269,54403
0500000US01125,"Tuscaloosa County, Alabama",60490,76032
0500000US01127,"Walker County, Alabama",45356,55326
0500000US02020,"Anchorage Municipality, Alaska",86241,104576
0500000US02090,"Fairbanks North Star Borough, Alaska",82235,102770
0500000US02170,"Matanuska-Susitna Borough, Alaska",87614,98217
0500000US04001,"Apache County, Arizona",42208,51444
0500000US04003,"Cochise County, Arizona",54167,66615
0500000US04005,"Coconino County, Arizona",60847,77352
0500000US04013,"Maricopa County, Arizona",65148,85590
0500000US04015,"Mohave County, Arizona",44620,54427
0500000US04017,"Navajo County, Arizona",41838,50201
0500000US04019,"Pima County, Arizona",57476,76713
0500000US04021,"Pinal County, Arizona",56765,66803
0500000US04025,"Yavapai County, Arizona",53095,69797
0500000US04027,"Yuma County, Arizona",43113,58001
0500000US05007,"Benton County, Arkansas",69281,87024
0500000US05031,"Craighead County, Arkansas",49511,72969
0500000US05045,"Faulkner County, Arkansas",63816,78273
0500000US05051,"Garland County, Arkansas",52727,71531
0500000US05069,"Jefferson County, Arkansas",46795,62227
0500000US05085,"Lonoke County, Arkansas",60659,68530
0500000US05119,"Pulaski County, Arkansas",60634,80374
0500000US05125,"Saline County, Arkansas",57428,72023
0500000US05131,"Sebastian County, Arkansas",49246,73107
0500000US05143,"Washington County, Arkansas",59426,83546
0500000US05145,"White County, Arkansas",52307,77143
0500000US06001,"Alameda County, California",93540,118016
0500000US06007,"Butte County, California",60645,83465
0500000US06013,"Contra Costa County, California",95357,129908
0500000US06017,"El Dorado County, California",82446,108772
0500000US06019,"Fresno County, California",48440,68921
0500000US06023,"Humboldt County, California",52878,68803
0500000US06025,"Imperial County, California",48164,66566
0500000US06029,"Kern County, California",51332,70151
0500000US06031,"Kings County, California",48683,65023
0500000US06033,"Lake County, California",44821,55636
0500000US06037,"Los Angeles County, California",62295,91395
0500000US06039,"Madera County, California",49707,63661
0500000US06041,"Marin County, California",127470,184224
0500000US06045,"Mendocino County, California",57721,78011
0500000US06047,"Merced County, California",47011,63139
0500000US06053,"Monterey County, California",61181,89563
0500000US06055,"Napa County, California",88187,113922
0500000US06057,"Nevada County, California",67471,90715
0500000US06059,"Orange County, California",85313,114370
0500000US06061,"Placer County, California",91583,112879
0500000US06065,"Riverside County, California",64563,80747
0500000US06067,"Sacramento County, California",66205,87047
0500000US06071,"San Bernardino County, California",58049,74314
0500000US06073,"San Diego County, California",76876,99383
0500000US06075,"San Francisco County, California",100850,141220
0500000US06077,"San Joaquin County, California",59220,77977
0500000US06079,"San Luis Obispo County, California",80687,101209
0500000US06081,"San Mateo County, California",117149,164083
0500000US06083,"Santa Barbara County, California",71652,98259
0500000US06085,"Santa Clara County, California",109884,144059
0500000US06087,"Santa Cruz County, California",80788,108200
0500000US06089,"Shasta County, California",59900,72622
0500000US06095,"Solano County, California",77896,91930
0500000US06097,"Sonoma County, California",81305,108485
0500000US06099,"Stanislaus County, California",55772,71955
0500000US06101,"Sutter County, California",61221,78254
0500000US06107,"Tulare County, California",45844,61192
0500000US06111,"Ventura County, California",83019,108612
0500000US06113,"Yolo County, California",72428,98918
0500000US06115,"Yuba County, California",44616,58401
0500000US08001,"Adams County, Colorado",65913,80962
0500000US08005,"Arapahoe County, Colorado",79453,105851
0500000US08013,"Boulder County, Colorado",95184,118348
0500000US08031,"Denver County, Colorado",71439,102780
0500000US08035,"Douglas County, Colorado",116703,137493
0500000US08041,"El Paso County, Colorado",71358,88831
0500000US08059,"Jefferson County, Colorado",88594,109441
0500000US08069,"Larimer County, Colorado",74415,94721
0500000US08077,"Mesa County, Colorado",64235,74573
0500000US08101,"Pueblo County, Colorado",48988,62771
0500000US08123,"Weld County, Colorado",73421,86891
0500000US09001,"Fairfield County, Connecticut",104987,168575
0500000US09003,"Hartford County, Connecticut",83605,107136
0500000US09005,"Litchfield County, Connecticut",88938,105169
0500000US09007,"Middlesex County, Connecticut",101526,115268
0500000US09009,"New Haven County, Connecticut",81542,103985
0500000US09011,"New London County, Connecticut",82337,102188
0500000US09013,"Tolland County, Connecticut",94838,115109
0500000US09015,"Windham County, Connecticut",70709,78450
0500000US10001,"Kent County, Delaware",62982,76919
0500000US10003,"New Castle County, Delaware",80729,99947
0500000US10005,"Sussex County, Delaware",63869,82235
0500000US11001,"District of Columbia, District of Columbia",84094,125324
0500000US12001,"Alachua County, Florida",65641,87570
0500000US12005,"Bay County, Florida",54943,75672
0500000US12009,"Brevard County, Florida",59835,77107
0500000US12011,"Broward County, Florida",62108,83825
0500000US12015,"Charlotte County, Florida",52877,69377
0500000US12017,"Citrus County, Florida",43599,62093
0500000US12019,"Clay County, Florida",66676,81202
0500000US12021,"Collier County, Florida",66233,107984
0500000US12023,"Columbia County, Florida",51849,63056
0500000US12031,"Duval County, Florida",56747,74399
0500000US12033,"Escambia County, Florida",56941,74572
0500000US12035,"Flagler County, Florida",55852,64958
